Dataset Name,Year,Source,Provider,Task Type,Dialect,License,Bias Risk ,Paper Link,Host,Language,Collection ,Domain,Form,
Ultimate Arabic News Dataset,2022,Masader,Yalova Universitesi,topic classification,MSA,CC BY 4.0,Low,,Mendeley Data,ar,crawling,news articles,text,
Arabic Stop words,2016,Masader,unknown,stop words,Mixed,MIT License,Low,,GitHub,ar,other,other,text,
Arabic Paraphrased Dataset,2024,Masader,King Saud University,"machine translation,summarization,sentiment analysis",MSA,CC BY-NC 4.0,Low,https://www.sciencedirect.com/science/article/pii/S2352340924009661?via%3Dihub,GitHub,ar,"crawling,machine annotation,human annotation","news articles,public datasets,web pages",text,
MCWC,2024,Masader,unknown,machine translation,MSA,MIT License,Low,https://aclanthology.org/2024.osact-1.7.pdf,HuggingFace,multilingual,"crawling,machine annotation",other,text,
wikimedia/wit_base,2021,Masader,Google,image captioning,MSA,CC BY-SA 4.0,Low,https://arxiv.org/pdf/2103.01913,HuggingFace,multilingual,crawling,wikipedia,text,
OSCAR Small,2022,Masader,-,"language modeling,text generation",Mixed,CC0,Low,,HuggingFace,multilingual,other,web pages,text,
mC4,2019,Masader,Google,"text generation,language modeling",Mixed,CC BY 4.0,Low,https://arxiv.org/pdf/1910.10683,other,multilingual,crawling,other,text,
WiLI-2018,2018,Masader,-,language identification,MSA,Apache-1.0,Low,https://arxiv.org/pdf/1801.07779,zenodo,multilingual,crawling,wikipedia,text,
MultiTACRED,2021,Masader,unknown,relation extraction,MSA,LDC User Agreement for Non-Members,Low,https://aclanthology.org/2023.acl-long.210.pdf,HuggingFace,multilingual,machine annotation,other,text,
Arabic-ENglish named entities dataset,2017,Masader,"Monastir University - Tunisia,Umm Al-Qura University - Saudi Arabia","machine translation,named entity recognition",Mixed,CC BY 4.0,Low,"https://iajit.org/PDF//vol.%2014,%20no%206/10491.pdf",GitHub,multilingual,"crawling,machine annotation",news articles,text,
Arabic ontology,2021,Masader,"SinaLab,Birzeit University","language modeling,topic classification,information retrieval,speaker identification,transliteration",MSA,CC BY 4.0,Low,https://arxiv.org/abs/2205.09664,CAMeL Resources,ar,manual curation,other,text,
Synonyms,2022,Masader,"SinaLab,Birzeit University","language modeling,information retrieval,part of speech tagging",MSA,CC BY 4.0,Low,https://arxiv.org/abs/2302.02232,CAMeL Resources,ar,manual curation,other,text,
Arabench,2020,Masader,QCRI,machine translation,Mixed,Apache-2.0,Low,https://aclanthology.org/2020.coling-main.447.pdf,QCRI Resources,ar,other,other,text,
Twt15DA_Lists,2021,Masader,Taif University,dialect identification,Mixed,CC BY-NC-ND 4.0,Low,https://web.archive.org/web/20210813220628id_/https://www.cambridge.org/core/services/aop-cambridge-core/content/view/2DE64B777EF0277557AFA90E2BB75B62/S135132492100019Xa.pdf/div-class-title-creation-of-annotated-country-level-dialectal-arabic-resources-an-unsupervised-approach-div.pdf,GitHub,ar,"crawling,machine annotation",social media,text,
MoArLex,2018,Masader,Nile University,sentiment analysis,Mixed,CC BY 3.0,Low,https://www.sciencedirect.com/science/article/pii/S1877050918321665?ref=pdf_download&fr=RR-2&rr=995bef273a56a966,GitHub,ar,other,social media,text,
Tashkeela,2017,Masader,ESI,diacritization,Mixed,GPL-2.0,Low,https://www.sciencedirect.com/science/article/pii/S2352340917300112,sourceforge,ar,crawling,books,text,
Aya Dataset,2024,Masader,Cohere For AI,"question answering,instruction tuning",Mixed,Apache-2.0,Low,https://arxiv.org/pdf/2402.06619,HuggingFace,multilingual,manual curation,other,text,
DARES,2024,Masader,Multiple Institutions,readability assessment,MSA,CC BY-NC 4.0,Low,https://aclanthology.org/2024.determit-1.10.pdf,GitHub,ar,other,books,text,
ARCD,2019,Masader,AUB,question answering,MSA,MIT License,Low,https://arxiv.org/pdf/1906.05394,GitHub,ar,crawling,wikipedia,text,
ABSA-Hotels,2016,Masader,unknown,review classification,Mixed,MIT License,Low,https://aclanthology.org/S16-1002.pdf,GitHub,multilingual,crawling,web pages,text,
AGS,2023,Masader,unknown,summarization,MSA,CC BY-NC 4.0,Low,https://ieeexplore.ieee.org/abstract/document/10441794,HuggingFace,ar,other,other,text,
FLORES-101,2021,Masader,Facebook,machine translation,MSA,CC BY-SA 4.0,Low,https://arxiv.org/pdf/2106.03193,GitHub,multilingual,crawling,other,text,
XGLUE,2020,Masader,Microsoft,"part of speech tagging,question answering,natural language inference",MSA,CC BY 4.0,Low,https://arxiv.org/pdf/2004.01401,GitHub,multilingual,other,other,text,
ANS CORPUS: claim verification,2020,Masader,Latynt,"stance detection,fact checking",MSA,Apache-2.0,Low,https://arxiv.org/pdf/2005.10410,GitHub,ar,crawling,news articles,text,
DODav2,2024,Masader,unknown,"machine translation,morphological analysis",Morocco,CC BY-NC 4.0,Low,https://arxiv.org/pdf/2405.13016,GitHub,ar,"human annotation,manual curation,machine annotation",other,text,
xlel_wd_dictionary,2022,Masader,Carnegie Mellon University,linking translation,Classical Arabic,CC BY 4.0,Low,https://arxiv.org/pdf/2204.06535,HuggingFace,multilingual,crawling,wikipedia,text,
CALIMA-GLF,2017,Masader,NYU Abu Dhabi,"part of speech tagging,morphological analysis",Gulf,CC BY-SA 3.0,Low,https://aclanthology.org/W17-1305.pdf,CAMeL Resources,ar,manual curation,social media,text,
ArabGlossBERT,2021,Masader,"SinaLab,Birzeit University","language modeling,natural language inference",MSA,CC BY 4.0,Low,https://arxiv.org/pdf/2205.09685,CAMeL Resources,ar,manual curation,other,text,
Arabic-ENglish named entities dataset,2017,Masader,"Monastir University - Tunisia,Umm Al-Qura University - Saudi Arabia","machine translation,named entity recognition",Mixed,CC BY 4.0,Low,"https://iajit.org/PDF//vol.%2014,%20no%206/10491.pdf",GitHub,multilingual,"crawling,machine annotation",news articles,text,
KIND,2024,Masader,KFUPM,"dialect identification,machine translation,question answering",Mixed,CC BY 4.0,Low,https://aclanthology.org/2024.eacl-srw.3.pdf,HuggingFace,ar,manual curation,other,text,
A Corpus of Arabic Literature (19-20th centuries) for Stylometric Tests,2021,Masader,unknown,language modeling,Classical Arabic,CC BY 4.0,Low,,zenodo,ar,crawling,books,text,
OASST2,2023,Masader,unknown,text generation,MSA,Apache-2.0,Low,,HuggingFace,multilingual,manual curation,other,text,
xquad,2019,Masader,DeepMind,question answering,MSA,CC BY-SA 4.0,Low,https://aclanthology.org/2020.acl-main.421.pdf,GitHub,multilingual,human annotation,other,text,
BnL Historical Newspapers,2022,Masader,BnL,"text generation,language modeling",MSA,CC0,Low,,other,multilingual,other,news articles,text,
GEM,2021,Masader,Multiple Institutions,summarization,MSA,Apache-2.0,Low,https://aclanthology.org/2021.gem-1.10.pdf,other,multilingual,crawling,wikipedia,text,
Rewayatech,2020,Masader,Multiple Institutions,"text generation,language modeling",Saudi Arabia,CC BY-NC-SA 4.0,Low,https://www.preprints.org/manuscript/202008.0628,GitHub,ar,crawling,other,text,
CTAB: Corpus of Tunisian Arabizi,2021,Masader,University of Sfax,dialect identification,Tunisia,CC BY 4.0,Low,,zenodo,ar,crawling,social media,text,
xquad_r,2020,Masader,Google Research,"information retrieval,question answering",Mixed,CC BY 4.0,Low,https://arxiv.org/pdf/2004.05484,GitHub,multilingual,machine annotation,other,text,
ARASPIDER,2024,Masader,Multiple Institutions,text-to-SQL generation,MSA,MIT License,Low,https://arxiv.org/pdf/2402.07448,GitHub,ar,other,other,text,
Multilingual LAMA,2021,Masader,LMU Munich,fill-in-the blank,MSA,CC BY-NC 4.0,Low,,GitHub,multilingual,machine annotation,other,text,
AREEj,2024,Masader,unknown,relation extraction,MSA,CC BY-SA 4.0,Low,https://aclanthology.org/2024.arabicnlp-1.6.pdf,HuggingFace,ar,other,other,text,
Arabic - Egyptian comparable Wikipedia corpus,2017,Masader,unknown,"dialect identification,text generation,language modeling",Mixed,CC BY-SA 4.0,Low,https://ieeexplore.ieee.org/document/8038320,Kaggle,ar,crawling,wikipedia,text,
NETransliteration,2018,Masader,Amazon,"transliteration,named entity recognition",MSA,MIT License,Low,https://aclanthology.org/C18-1053.pdf,GitHub,multilingual,crawling,wikipedia,text,
BahrainCorpus,2022,Masader,"University of Bahrain,New York University Abu Dhabi,Stony Brook University","morphological analysis,speech recognition",Bahrain,CC BY-NC-SA 4.0,Low,https://aclanthology.org/2022.lrec-1.251.pdf,other,ar,"machine annotation,human annotation","social media,TV Channels,web pages,public datasets",text,upon request
WikiMatrix,2021,Masader,"JHU,Facebook",machine translation,MSA,Apache-1.0,Low,,GitHub,multilingual,crawling,wikipedia,text,
CORMAP: Corpus for Moroccan Arabic Processing,2017,Masader,LINDAT/CLARIAH-CZ,language identification,Morocco,LGPL-3.0,Low,,other,ar,other,other,text,
AOC-ALDi,2023,Masader,University of Edinburgh,dialect identification,Mixed,MIT License,Low,https://aclanthology.org/2023.emnlp-main.655/,GitHub,ar,crawling,commentary,text,
xp3all,2022,Masader,BigScience,instruction tuning,MSA,Apache-2.0,Low,https://aclanthology.org/2023.acl-long.891.pdf,HuggingFace,multilingual,machine annotation,other,text,
Comparable Wikipedia Coprus,2017,Masader,Islamic University of Gaza,machine translation,Mixed,CC BY-SA 4.0,Low,https://ieeexplore.ieee.org/document/8038320,GitHub,ar,crawling,wikipedia,text,
GEM - XLSum,2021,Masader,Multiple Institutions,summarization,MSA,CC BY-NC-SA 4.0,Low,https://aclanthology.org/2021.findings-acl.413.pdf,other,multilingual,crawling,news articles,text,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
